Category 1,Category 2,Category 3,Avg Buyer L365D,Avg Buyer L180D,Avg Buyer L90D,Avg Buyer L30D,Avg Orders L365D,Avg Orders L180D,Avg Orders L90D,Avg Orders L30D,Avg UV L365D,Avg UV L180D,Avg UV L90D,Avg UV L30D,Visible Products,Visible Sellers,Selling Sellers L30D,Selling Products L30D
"TV, Audio / Video, Gaming & Wearables",Audio,Headphones & Headsets,32.162818003913856,28.63809523809514,27.06507936507929,27.090476190476146,34.494716242661426,30.679365079365,28.885714285714283,28.895238095238,2222.051663405086,2222.051663405086,2222.051663405086,2222.051663405086,2611,195,79.0,244.0
Health & Beauty,Beauty Tools,Electric Massagers,19.0410958904109,21.4333333333333,23.7222222222222,25.4666666666666,19.958904109589,22.4,24.9666666666666,26.9333333333333,453.312328767123,453.312328767123,453.312328767123,453.312328767123,1474,422,96.0,163.0
Mobiles & Tablets,Mobile Accessories,Phone Cases,27.99960967993743,24.329123914759144,23.408163265306,23.94470046082943,30.016783762685286,26.015785319652714,24.951334379905713,25.626728110599,1775.341682974557,1775.341682974557,1775.341682974557,1775.341682974557,5768,98,57.0,588.0
Groceries,Baking & Cooking,Cooking Ingredients,17.389432485322857,18.108730158730143,17.757142857142856,17.009523809523714,18.218786692759284,19.00714285714286,18.657142857142855,17.780952380952286,580.9542074363972,580.9542074363972,580.9542074363972,580.9542074363972,690,38,24.0,185.0
Health & Beauty,Skin Care,Moisturizers and Cream,17.809393346379572,18.162698412698287,17.652380952380856,16.714285714285715,18.860665362035142,19.21031746031743,18.623809523809427,17.533333333333285,1000.1581213307228,1000.1581213307228,1000.1581213307228,1000.1581213307228,1248,134,64.0,236.0
Health & Beauty,Skin Care,Facial Cleansers,11.585127201565557,11.622222222222215,12.873015873015872,13.080952380952372,12.129941291585114,12.1515873015873,13.436507936507928,13.647619047619044,639.9553816046944,639.9553816046944,639.9553816046944,639.9553816046944,805,105,46.0,163.0
Health & Beauty,Skin Care,Serum & Essence,12.812915851272013,13.102380952380942,13.166666666666657,12.942857142857141,13.660273972602727,13.9079365079365,13.965079365079358,13.614285714285714,661.5694716242657,661.5694716242657,661.5694716242657,661.5694716242657,571,96,40.0,115.0
Health & Beauty,Food Supplements,Well Being,11.980430528375729,12.582539682539672,12.461904761904758,12.43809523809523,12.749902152641871,13.437301587301587,13.244444444444442,13.200000000000001,535.94050880626,535.94050880626,535.94050880626,535.94050880626,1502,78,42.0,197.0
"TV, Audio / Video, Gaming & Wearables",Wearable Technology,Smartwatches,12.396477495107629,10.985714285714286,12.147619047619044,10.842857142857143,13.545205479452042,11.999206349206343,13.320634920634914,11.852380952380942,1513.18747553816,1513.18747553816,1513.18747553816,1513.18747553816,791,94,34.0,94.0
Health & Beauty,Skin Care,Sunscreen and Aftersun,8.462230919765156,9.611904761904757,11.504761904761901,10.347619047619043,8.826223091976514,10.042063492063486,12.063492063492058,10.733333333333329,469.6328767123286,469.6328767123286,469.6328767123286,469.6328767123286,489,76,34.0,113.0
