order_bracket (NPR),Valid_Orders,% Orders Share,Valid_Items,Basket_Size,% GMV Share,AOV,AIV,% Prepaid Orders,% Prepaid GMV,Avg Shipping Fee,Selling_Sellers,Buyers,% New Buyers,Selling Products,Free Shipping Orders,Organic Orders,% Seller Cancellation
01. 0 to 100,20507.777777777777,0.0269,29877.894736842107,1.4569055243624585,0.0056,3.813918838381102,2.6178216600901916,0.08942857142857144,0.03421428571428572,Rs. 51,1581.6666666666667,16234.166666666668,0.22815000000000002,11386.7,0.2603846153846154,0.4711,0.0103
02. 101 to 200,46862.22222222222,0.0614,48209.47368421053,1.0287492013417459,0.0078,2.296031595491004,2.231867196102223,0.045428571428571436,0.04785714285714286,Rs. 39,1986.6666666666667,38300.0,0.2967,18593.9,0.11476923076923076,0.8555,0.0095
03. 201 to 300,56212.22222222222,0.0737,58116.84210526316,1.0338826647968382,0.0124,3.071790013469364,2.971120532399082,0.030142857142857145,0.03492857142857143,Rs. 69,2289.166666666667,56960.833333333336,0.2643,29430.7,0.08984615384615384,0.9519,0.0117
04. 301 to 400,62161.11111111111,0.0814,65890.0,1.0599874877111448,0.018,4.007018372636391,3.7802506341738398,0.0285,0.0325,Rs. 79,2504.166666666667,66927.5,0.29505000000000003,36060.700000000004,0.07315384615384615,0.9654,0.0125
05. 401 to 500,63027.22222222222,0.0826,68567.36842105264,1.087900846705522,0.023,5.066744906144108,4.6573590980167685,0.04042857142857143,0.04435714285714286,Rs. 80,2610.8333333333335,67785.83333333334,0.2961,38287.6,0.06292307692307691,0.9459,0.0107
06. 501 to 600,55224.444444444445,0.0724,61277.36842105263,1.1096058826394786,0.0243,6.093510177802561,5.491598659613811,0.028571428571428574,0.031285714285714285,Rs. 79,2636.666666666667,60996.66666666667,0.2811,37856.0,0.05623076923076923,0.9661,0.0124
07. 601 to 700,44677.22222222222,0.0585,52313.68421052632,1.1709251741372981,0.023,7.125107250774072,6.085023542194857,0.033,0.03528571428571429,Rs. 80,2560.8333333333335,51525.833333333336,0.26025,35431.5,0.053384615384615385,0.9637,0.0129
08. 701 to 800,35847.22222222222,0.047,43491.57894736842,1.2132482309998165,0.0212,8.211395361709195,6.768108250149542,0.03564285714285714,0.03842857142857143,Rs. 88,2528.3333333333335,43000.0,0.2481,33384.0,0.06338461538461539,0.958,0.0128
09. 801 to 900,35095.555555555555,0.046,43195.26315789474,1.2307901235390764,0.0235,9.267840182359274,7.529992323719705,0.03728571428571429,0.04035714285714286,Rs. 90,2592.5,42600.0,0.25905,33684.3,0.054769230769230764,0.9523,0.0136
10. 901 to 1000,33229.444444444445,0.0435,45665.26315789474,1.3742409456842246,0.0249,10.39964078520914,7.5675527045450055,0.040285714285714286,0.043000000000000003,Rs. 91,2581.666666666667,40358.333333333336,0.25515,33798.700000000004,0.06292307692307691,0.9458,0.0129
11. 1001 to 1100,32466.666666666664,0.0425,42540.0,1.3102669404517455,0.0266,11.375117336462308,8.681526630398281,0.033857142857142856,0.03592857142857143,Rs. 94,2571.666666666667,39580.833333333336,0.2631,35123.4,0.039999999999999994,0.9533,0.0131
12. 1101 to 1200,23224.444444444445,0.0304,34085.26315789474,1.4676460071813828,0.021,12.51304728187323,8.525930108926309,0.043000000000000003,0.04571428571428572,Rs. 92,2480.0,27991.666666666668,0.23625000000000002,30082.0,0.05676923076923077,0.9423,0.0139
13. 1201 to 1300,20245.555555555555,0.0265,29074.736842105263,1.4361046681244025,0.0199,13.60425568613923,9.473025182702603,0.043857142857142865,0.046285714285714284,Rs. 97,2420.0,25560.833333333336,0.2373,28427.100000000002,0.05415384615384616,0.9325,0.0162
14. 1301 to 1400,19063.888888888887,0.025,27801.578947368424,1.4583372316847782,0.0201,14.638895943048649,10.038073241904906,0.04657142857142857,0.049,Rs. 98,2387.5,24199.166666666668,0.24780000000000002,27331.2,0.05176923076923077,0.9326,0.015
15. 1401 to 1500,16305.0,0.0214,25510.0,1.5645507513032813,0.0187,15.865641564813599,10.140701125609006,0.05064285714285715,0.053000000000000005,Rs. 106,2328.3333333333335,20931.666666666668,0.2484,26250.9,0.07007692307692308,0.9197,0.0133
16. 1501 to 2000,58772.22222222222,0.077,100580.0,1.711352679837414,0.0799,18.85151985739943,11.015566855097576,0.05778571428571429,0.062071428571428576,Rs. 113,3757.5,63885.833333333336,0.29025,77594.40000000001,0.0746923076923077,0.9109,0.0162
